,asin,helpful,rating,reviewText,reviewTime,reviewerID,reviewerName,unixReviewTime
4384,B0032YXH1A,"[1, 5]",5,"This one got mixed reviews, but I figured what the heck, it's free. Im not through the first chapter yet and im not sure i want to read more.  It's not horrible. Believe it or not I've actually read worse. But the author does a large amount of telling instead of showing. For example, Ty will often tell us how Gwen was feeling rather than the author showing us through Gwen's actions and expressions. Typical beginning writer mistakes. The characters as well were unfortunately cardboard cut outs, and some of their actions poorly motivated, IOW unbelievable. No chemistry between the characters either. Unfortunately I won't be looking for anymore of this author's works. Had I paid for this, I'd feel cheated.","01 7, 2011",AJMKMTV1D2TFM,Joanne Stewart,1294358400
2593,B0032UDUQ6,"[0, 0]",5,This book was good &#8211; it was a very quick read for me and I was able to finish it pretty quickly.  Alex and Celeste are great together and there is an instant attraction and great chemistry between them. The sex is smoking hot and awesome. The one thing I did not like was Alex and his need to please his father by stealing from Celeste - but overall the book was good.,"06 11, 2014",A2PF64RBR1G1SZ,T. Edwards,1402444800
6036,B000NY11RY,"[0, 0]",5,"Wine and romance perfect combo Bella Andre delivers again, a story of three friends all escaping the daily life of the city and each indulging in their weekend getaway with three men who know how to break down the walls around their hearts. Each struggle with the new found love they have in men know how to  wine country after disastrous relationships make them second guess themselves but three Napa men prove to them that a second chance is nothing to be afraid of.","01 27, 2014",A2QVPG08BW5373,Steffi Kim,1390780800
932,B0028AEAG0,"[0, 0]",5,"I chose this rating because the story started out slow. I almost put it down a couple of times, but when it got going i had trouble putting it down. Looking forward to the second book.","12 5, 2012",A1NK9OQUKJJJ2O,Amazon Customer,1354665600
3034,B0031Y6BFA,"[0, 3]",5,"WOW WHAT A RIDE!  JUST WHEN YOU THINK THINGS ARE GOING TO SLOW DOWN THE AUTHOR SETS YOU OFF SPINNING ON ANOTHER QUICK RIDE.  I STAYED UP PAST MY BEDTIME TO FINISH THIS ONE  I HAVE READ ONE OTHER BOOK BY THIS AUTHOR AND DID NOT LIKE IT AT ALL, A BIT MUSHY FOR ME BUT, THE ROMANCE ANGLE IN THIS ONE IS JUSTIFIED AND NOT TOO INTENSE","03 1, 2011",A15NZD5WINDQZM,"BONFOGLIO ""BONNIE""",1298937600
2246,B000W4RFNO,"[0, 0]",5,"Like all Linda Howard's books, this is one of her best - MacKenzie series are all well-written with nice plot, engaging, and filled with family oriented characters. Maris Mackenzie is the only daughter and the youngest among Wolf's and Mary's children - she is sweet and like her father, also loved horses. Her marriage to a nice and wonderful man was something to remember - with the help of her cute niece who stole the whole show!","01 30, 2013",A1WRC15T9EJQOE,mzsb1204,1359504000
589,B0017T0C2Y,"[0, 0]",5,"During the wholes series I was and I am a fan of DJ. I love the way she treats her friends and helps them. Even love her bad habbits :-).What I did not like was the way this story was going. Quinn isn't able to stand a woman, who is standing on her own feet and not fearing to fight for herself? Does he really need to make her small to fell great, feel like a man?For me this book is pushed high. You must know Susan Mallory offers her readers in the US free books 14 days before publishing and they have to write a review to be in the next round for a free book.","03 8, 2014",A36L6AYK17QGSD,"Amazon Customer ""Krimitante""",1394236800
8910,B0039GL2JK,"[0, 0]",5,I read the fairy tales and decided against reading them to little children.  The tales seemed more for older children.,"12 1, 2013",A3E64M6F1NZDA6,Bres Grace,1385856000
6338,B003PDN7EK,"[0, 0]",5,Not the type of Christmas story that I enjoy reading. Prefer more current day type of stories with women that have more charge of their lives.,"01 22, 2014",A2BX79H27KONN8,Kindle Customer,1390348800
1575,B001W1XT40,"[0, 0]",5,Great accessory. Makes life easier to have this handy equipment while your traveling. It charges quickly and is very convenient.,"12 21, 2013",A19WSY6TAU25DO,Judith L Cheney,1387584000
